,Feature,RF Mean |SHAP|,XGB Mean |SHAP|,Average |SHAP|
1,Enzyme_Load,0.11315509349328973,1.6146917,0.8639234139036273
2,Albumin_Protein_Ratio,0.027938448779830784,0.8523872,0.44016281932247153
3,Alamine_Aminotransferase_log,0.019557542886362238,0.6114587,0.31550813083153256
4,Direct_Bilirubin_log,0.05058826136807392,0.56289583,0.30674204790701365
5,Bili_AST_Interaction,0.04798663552716157,0.5289316,0.28845912663198897
6,Total_Bilirubin_log,0.035817095930806876,0.49706677,0.26644193097722135
7,Bilirubin_Ratio,0.019131522784638536,0.4538368,0.23648416072627312
8,ALT_Albumin_Ratio,0.030796842753435614,0.37600628,0.20340155908442809
9,Bilirubin_Protein,0.028352469323281518,0.37338892,0.20087069278866254
10,Direct_Bilirubin,0.04658207274441348,0.270438,0.15851002920152957
11,Aspartate_Aminotransferase_log,0.01072126555918921,0.22748607,0.11910366976499194
12,Aspartate_Aminotransferase,0.00904229412319405,0.19602488,0.10253358696819416
13,Alamine_Aminotransferase,0.022353503806942218,0.06327751,0.0428155082978574
14,Total_Bilirubin,0.03415109676565265,0.04683296,0.04049202843231725
